File,Line,Type,Text,Key
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,239,undefined,"Audio Generator",page_audio_generator
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,239,undefined,"Audio Generator",page_audio_generator
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,240,undefined,"Generate Armenian audio using Supabase Edge Functions",page_generate_armenian_audio_using_supabase_edge_functi
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,240,undefined,"Generate Armenian audio using Supabase Edge Functions",page_generate_armenian_audio_using_supabase_edge_functi
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,246,undefined,"Language",page_language
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,246,undefined,"Language",page_language
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,252,undefined,"Armenian (hy)",page_armenian_hy_
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,253,undefined,"English (en)",page_english_en_
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,254,undefined,"Russian (ru)",page_russian_ru_
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,255,undefined,"All Languages",page_all_languages
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,259,undefined,"Batch Size",page_batch_size
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,259,undefined,"Batch Size",page_batch_size
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,286,undefined,"Progress: {progress.processed}/{progress.total}",page_progress_progress_processed_progress_total_
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,287,undefined,"✅ {progress.success}",page__progress_success_
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,288,undefined,"❌ {progress.failed}",page__progress_failed_
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,304,undefined,"How It Works",page_how_it_works
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,304,undefined,"How It Works",page_how_it_works
C:\Users\Armen\Documents\NurLingo\NURLingo-main\lingo-offline-pal-master - Copy\src\app\admin\audio\page.tsx,306,undefined,"The Edge Function generates audio using Google Translate TTS (supports Armenian)",page_the_edge_function_generates_audio_using_google_tra
